vector_text
"Medicine: Medicine_Name (Medicine_Category, Dosage_Form, Price: Strength_mg, Availability: Classification, Manufacturer: Manufacturer). Animal: Animal_Type (Breed, Age: Age, Gender: Gender, Weight: Weight). Symptoms: all_symptoms. Disease: Disease. Temperature: Body_Temperature°C, Score: Heart_Rate."
"Medicine: acetocillin (analgesic, tablet, Price: 716.0, Availability: prescription, Manufacturer: novartis ag). Animal: cat (persian, Age: 8, Gender: male, Weight: 4.6). Symptoms: appetite loss, vomiting, eye discharge, lethargy. Disease: conjunctivitis. Temperature: 39.0°C, Score: 140."
"Medicine: acetocillin (antipyretic, drops, Price: 202.0, Availability: over-the-counter, Manufacturer: novo nordisk a/s). Animal: cat (russian blue, Age: 2, Gender: male, Weight: 6.0). Symptoms: nasal discharge, loss of appetite, coughing, fever. Disease: feline asthma. Temperature: 39.0°C, Score: 145."
"Medicine: acetocillin (antipyretic, drops, Price: 202.0, Availability: over-the-counter, Manufacturer: novo nordisk a/s). Animal: cat (persian, Age: 4, Gender: female, Weight: 7.0). Symptoms: coughing, loss of appetite, nasal discharge, fever. Disease: feline asthma. Temperature: 39.0°C, Score: 130."
"Medicine: acetocillin (antiseptic, capsule, Price: 263.0, Availability: over-the-counter, Manufacturer: glaxosmithkline plc). Animal: cat (ragdoll, Age: 4, Gender: female, Weight: 5.0). Symptoms: eye discharge, nasal discharge, coughing, lethargy. Disease: feline calicivirus. Temperature: 38.6°C, Score: 148."
"Medicine: acetocillin (antiseptic, capsule, Price: 263.0, Availability: over-the-counter, Manufacturer: glaxosmithkline plc). Animal: cat (siberian, Age: 2, Gender: male, Weight: 5.5). Symptoms: coughing, sneezing, nasal discharge, eye discharge. Disease: feline calicivirus. Temperature: 38.6°C, Score: 144."
"Medicine: acetocillin (antiseptic, capsule, Price: 263.0, Availability: over-the-counter, Manufacturer: glaxosmithkline plc). Animal: cat (abyssinian, Age: 4, Gender: male, Weight: 4.5). Symptoms: eye discharge, lethargy, nasal discharge, sneezing. Disease: feline calicivirus. Temperature: 38.8°C, Score: 140."
"Medicine: acetocillin (antiseptic, capsule, Price: 263.0, Availability: over-the-counter, Manufacturer: glaxosmithkline plc). Animal: cat (siamese, Age: 6, Gender: male, Weight: 4.2). Symptoms: coughing, sneezing, eye discharge, lethargy. Disease: feline calicivirus. Temperature: 38.7°C, Score: 140."
"Medicine: acetocillin (antipyretic, drops, Price: 202.0, Availability: over-the-counter, Manufacturer: novo nordisk a/s). Animal: cat (bengal, Age: 3, Gender: male, Weight: 5.5). Symptoms: nasal discharge, coughing, sneezing, lethargy. Disease: feline calicivirus. Temperature: 38.9°C, Score: 140."
"Medicine: acetocillin (antipyretic, drops, Price: 202.0, Availability: over-the-counter, Manufacturer: novo nordisk a/s). Animal: cat (burmese, Age: 4, Gender: male, Weight: 4.3). Symptoms: nasal discharge, coughing, loss of appetite, lethargy. Disease: feline calicivirus. Temperature: 39.0°C, Score: 150."
"Medicine: acetocillin (antipyretic, drops, Price: 202.0, Availability: over-the-counter, Manufacturer: novo nordisk a/s). Animal: cat (bengal, Age: 3, Gender: male, Weight: 5.0). Symptoms: nasal discharge, coughing, loss of appetite, fever. Disease: feline calicivirus. Temperature: 39.0°C, Score: 140."
"Medicine: acetocillin (antipyretic, drops, Price: 202.0, Availability: over-the-counter, Manufacturer: novo nordisk a/s). Animal: cat (persian, Age: 3, Gender: female, Weight: 5.0). Symptoms: coughing, sneezing, nasal discharge, fever. Disease: feline calicivirus. Temperature: 39.1°C, Score: 110."
"Medicine: acetocillin (antipyretic, drops, Price: 202.0, Availability: over-the-counter, Manufacturer: novo nordisk a/s). Animal: cat (scottish fold, Age: 4, Gender: male, Weight: 4.8). Symptoms: coughing, loss of appetite, fever, lethargy. Disease: feline chlamydia. Temperature: 38.8°C, Score: 147."
"Medicine: acetocillin (antipyretic, drops, Price: 202.0, Availability: over-the-counter, Manufacturer: novo nordisk a/s). Animal: cat (burmese, Age: 4, Gender: female, Weight: 7.5). Symptoms: coughing, loss of appetite, nasal discharge, fever. Disease: feline chlamydiosis. Temperature: 39.0°C, Score: 140."
"Medicine: acetocillin (antipyretic, drops, Price: 202.0, Availability: over-the-counter, Manufacturer: novo nordisk a/s). Animal: cat (persian, Age: 6, Gender: female, Weight: 4.2). Symptoms: nasal discharge, loss of appetite, lethargy, fever. Disease: feline coronavirus. Temperature: 39.1°C, Score: 148."
"Medicine: acetocillin (antiseptic, capsule, Price: 263.0, Availability: over-the-counter, Manufacturer: glaxosmithkline plc). Animal: cat (russian blue, Age: 2, Gender: female, Weight: 4.5). Symptoms: coughing, nasal discharge, eye discharge, sneezing. Disease: feline herpesvirus. Temperature: 38.8°C, Score: 150."
"Medicine: acetocillin (antiseptic, capsule, Price: 263.0, Availability: over-the-counter, Manufacturer: glaxosmithkline plc). Animal: cat (siamese, Age: 2, Gender: female, Weight: 4.0). Symptoms: sneezing, eye discharge, appetite loss, lethargy. Disease: feline herpesvirus. Temperature: 39.0°C, Score: 135."
"Medicine: acetocillin (antiseptic, capsule, Price: 263.0, Availability: over-the-counter, Manufacturer: glaxosmithkline plc). Animal: cat (manx, Age: 4, Gender: female, Weight: 3.3). Symptoms: eye discharge, nasal discharge, sneezing, coughing. Disease: feline herpesvirus. Temperature: 38.5°C, Score: 138."
"Medicine: acetocillin (antiseptic, capsule, Price: 263.0, Availability: over-the-counter, Manufacturer: glaxosmithkline plc). Animal: cat (persian, Age: 5, Gender: male, Weight: 5.0). Symptoms: eye discharge, nasal discharge, sneezing, lethargy. Disease: feline herpesvirus. Temperature: 38.9°C, Score: 148."
"Medicine: acetocillin (antipyretic, drops, Price: 202.0, Availability: over-the-counter, Manufacturer: novo nordisk a/s). Animal: cat (bengal, Age: 3, Gender: female, Weight: 6.0). Symptoms: nasal discharge, loss of appetite, coughing, fever. Disease: feline herpesvirus. Temperature: 39.1°C, Score: 145."
"Medicine: acetocillin (antipyretic, drops, Price: 202.0, Availability: over-the-counter, Manufacturer: novo nordisk a/s). Animal: cat (maine coon, Age: 6, Gender: male, Weight: 9.0). Symptoms: coughing, loss of appetite, nasal discharge, fever. Disease: feline herpesvirus. Temperature: 39.4°C, Score: 140."
"Medicine: acetocillin (antipyretic, drops, Price: 202.0, Availability: over-the-counter, Manufacturer: novo nordisk a/s). Animal: cat (bengal, Age: 4, Gender: male, Weight: 7.0). Symptoms: coughing, loss of appetite, nasal discharge, fever. Disease: feline immunodeficiency virus. Temperature: 39.1°C, Score: 135."
"Medicine: acetocillin (analgesic, tablet, Price: 716.0, Availability: prescription, Manufacturer: novartis ag). Animal: cat (maine coon, Age: 6, Gender: female, Weight: 7.5). Symptoms: appetite loss, vomiting, diarrhea, skin lesions. Disease: feline infectious peritonitis. Temperature: 38.9°C, Score: 145."
"Medicine: acetocillin (analgesic, tablet, Price: 716.0, Availability: prescription, Manufacturer: novartis ag). Animal: cat (sphynx, Age: 4, Gender: male, Weight: 5.2). Symptoms: vomiting, diarrhea, loss of appetite, lethargy. Disease: feline infectious peritonitis. Temperature: 39.1°C, Score: 148."
"Medicine: acetocillin (analgesic, tablet, Price: 716.0, Availability: prescription, Manufacturer: novartis ag). Animal: cat (maine coon, Age: 3, Gender: male, Weight: 7.5). Symptoms: lethargy, vomiting, loss of appetite, diarrhea. Disease: feline infectious peritonitis. Temperature: 39.1°C, Score: 148."
"Medicine: acetocillin (antipyretic, drops, Price: 202.0, Availability: over-the-counter, Manufacturer: novo nordisk a/s). Animal: cat (siamese, Age: 6, Gender: male, Weight: 5.5). Symptoms: coughing, loss of appetite, lethargy, fever. Disease: feline infectious peritonitis. Temperature: 39.0°C, Score: 149."
"Medicine: acetocillin (antipyretic, drops, Price: 202.0, Availability: over-the-counter, Manufacturer: novo nordisk a/s). Animal: cat (scottish fold, Age: 5, Gender: female, Weight: 4.7). Symptoms: nasal discharge, coughing, loss of appetite, fever. Disease: feline infectious peritonitis. Temperature: 38.9°C, Score: 150."
"Medicine: acetocillin (analgesic, tablet, Price: 716.0, Availability: prescription, Manufacturer: novartis ag). Animal: cat (persian, Age: 4, Gender: female, Weight: 7.0). Symptoms: vomiting, loss of appetite, lethargy, fever. Disease: feline infectious peritonitis. Temperature: 39.1°C, Score: 125."
"Medicine: acetocillin (antipyretic, drops, Price: 202.0, Availability: over-the-counter, Manufacturer: novo nordisk a/s). Animal: cat (siamese, Age: 3, Gender: female, Weight: 7.0). Symptoms: coughing, loss of appetite, nasal discharge, fever. Disease: feline infectious peritonitis. Temperature: 39.0°C, Score: 140."
