Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification,Unnamed: 7,Manufactured Date,Expiry Date,Strength_mg
acetocillin,antidiabetic,cream,938 mg,roche holding ag,virus,over-the-counter,,2021-10-18,2024-08-17,938.0
ibuprocillin,antiviral,injection,337 mg,csl limited,infection,over-the-counter,,2024-01-15,2025-12-08,337.0
dextrophen,antibiotic,ointment,333 mg,johnson & johnson,wound,prescription,,2024-12-02,2027-01-19,333.0
clarinazole,antifungal,syrup,362 mg,abbvie inc.,pain,prescription,,2024-09-03,2027-04-20,362.0
amoxicillin,antifungal,tablet,802 mg,teva pharmaceutical industries ltd.,wound,over-the-counter,,2024-03-21,2026-07-09,802.0
ibupromycin,antibiotic,injection,140 mg,takeda pharmaceutical company limited,infection,prescription,,2021-02-18,2023-05-19,140.0
metovir,antipyretic,ointment,641 mg,takeda pharmaceutical company limited,infection,over-the-counter,,2024-03-20,2027-03-18,641.0
ibuprovir,antidepressant,syrup,758 mg,eli lilly and company,fungus,over-the-counter,,2025-02-05,2028-01-19,758.0
cefcillin,antipyretic,tablet,954 mg,takeda pharmaceutical company limited,fungus,over-the-counter,,2022-12-17,2024-05-16,954.0
acetomycin,analgesic,inhaler,838 mg,novo nordisk a/s,wound,prescription,,2022-11-20,2025-05-10,838.0
ibuprocillin,antifungal,ointment,422 mg,abbvie inc.,wound,prescription,,2025-04-03,2027-05-22,422.0
acetonazole,antipyretic,ointment,575 mg,bayer ag,wound,prescription,,2022-06-07,2024-05-14,575.0
dolocillin,antiviral,ointment,451 mg,novo nordisk a/s,diabetes,prescription,,2022-10-19,2024-11-07,451.0
cefmet,antifungal,tablet,440 mg,astrazeneca plc,depression,prescription,,2023-07-10,2024-12-22,440.0
dolophen,antibiotic,capsule,469 mg,johnson & johnson,depression,prescription,,2022-10-20,2025-02-02,469.0
ibupronazole,analgesic,injection,720 mg,novartis ag,fungus,prescription,,2024-05-30,2025-10-16,720.0
amoxiprofen,antiviral,ointment,861 mg,novo nordisk a/s,diabetes,prescription,,2024-09-10,2026-04-26,861.0
acetomycin,antiviral,drops,978 mg,roche holding ag,virus,over-the-counter,,2022-09-18,2023-11-29,978.0
amoxistatin,antiviral,inhaler,46 mg,sanofi s.a.,fever,over-the-counter,,2020-02-22,2022-04-24,46.0
dextrocillin,antidiabetic,inhaler,392 mg,sanofi s.a.,pain,over-the-counter,,2023-05-19,2025-03-12,392.0
metovir,antifungal,injection,124 mg,"merck & co., inc.",diabetes,prescription,,2020-02-08,2021-09-30,124.0
cefmet,analgesic,cream,649 mg,"merck & co., inc.",fungus,over-the-counter,,2023-05-15,2026-04-20,649.0
clariphen,antidiabetic,syrup,300 mg,glaxosmithkline plc,fungus,over-the-counter,,2020-12-17,2023-08-08,300.0
ibuprocillin,antibiotic,inhaler,86 mg,bristol-myers squibb company,diabetes,prescription,,2023-02-20,2024-05-26,86.0
dolomet,antifungal,drops,335 mg,amgen inc.,diabetes,prescription,,2023-05-16,2025-09-04,335.0
acetoprofen,antibiotic,inhaler,909 mg,csl limited,fever,prescription,,2023-05-20,2026-03-27,909.0
amoximet,analgesic,ointment,795 mg,"gilead sciences, inc.",pain,prescription,,2021-12-21,2024-04-24,795.0
cefmet,antidepressant,injection,512 mg,boehringer ingelheim gmbh,fever,over-the-counter,,2024-12-07,2026-09-28,512.0
doloprofen,antibiotic,inhaler,981 mg,eli lilly and company,fungus,over-the-counter,,2022-07-12,2024-08-20,981.0
clariprofen,antifungal,tablet,123 mg,pfizer inc.,infection,prescription,,2023-10-29,2026-10-12,123.0
metocillin,analgesic,tablet,892 mg,eli lilly and company,pain,over-the-counter,,2024-10-14,2027-01-03,892.0
ibupromycin,analgesic,capsule,97 mg,roche holding ag,diabetes,over-the-counter,,2021-08-28,2024-07-26,97.0
cefstatin,antipyretic,ointment,19 mg,roche holding ag,fever,prescription,,2021-01-05,2022-10-06,19.0
metomycin,antifungal,capsule,718 mg,pfizer inc.,wound,over-the-counter,,2021-12-08,2022-12-27,718.0
acetomycin,antifungal,syrup,605 mg,bayer ag,virus,over-the-counter,,2024-01-27,2026-09-02,605.0
metoprofen,antiseptic,capsule,319 mg,novartis ag,wound,prescription,,2023-12-25,2026-02-23,319.0
clarivir,analgesic,tablet,14 mg,bristol-myers squibb company,pain,prescription,,2021-10-08,2023-10-03,14.0
ibuproprofen,analgesic,cream,178 mg,csl limited,pain,over-the-counter,,2020-05-06,2022-03-11,178.0
