Medicine_Name,Medicine_Category,Dosage_Form,Strength_mg,Classification,Manufacturer,Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,All_Symptoms,Disease,Body_Temperature,Heart_Rate
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,cat,persian,8,male,4.6,appetite loss,vomiting,eye discharge,lethargy,"appetite loss, vomiting, eye discharge, lethargy",conjunctivitis,39.0,140
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,russian blue,2,male,6.0,nasal discharge,loss of appetite,coughing,fever,"nasal discharge, loss of appetite, coughing, fever",feline asthma,39.0,145
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,persian,4,female,7.0,coughing,loss of appetite,nasal discharge,fever,"coughing, loss of appetite, nasal discharge, fever",feline asthma,39.0,130
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cat,ragdoll,4,female,5.0,eye discharge,nasal discharge,coughing,lethargy,"eye discharge, nasal discharge, coughing, lethargy",feline calicivirus,38.6,148
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cat,siberian,2,male,5.5,coughing,sneezing,nasal discharge,eye discharge,"coughing, sneezing, nasal discharge, eye discharge",feline calicivirus,38.6,144
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cat,abyssinian,4,male,4.5,eye discharge,lethargy,nasal discharge,sneezing,"eye discharge, lethargy, nasal discharge, sneezing",feline calicivirus,38.8,140
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cat,siamese,6,male,4.2,coughing,sneezing,eye discharge,lethargy,"coughing, sneezing, eye discharge, lethargy",feline calicivirus,38.7,140
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,bengal,3,male,5.5,nasal discharge,coughing,sneezing,lethargy,"nasal discharge, coughing, sneezing, lethargy",feline calicivirus,38.9,140
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,burmese,4,male,4.3,nasal discharge,coughing,loss of appetite,lethargy,"nasal discharge, coughing, loss of appetite, lethargy",feline calicivirus,39.0,150
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,bengal,3,male,5.0,nasal discharge,coughing,loss of appetite,fever,"nasal discharge, coughing, loss of appetite, fever",feline calicivirus,39.0,140
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,persian,3,female,5.0,coughing,sneezing,nasal discharge,fever,"coughing, sneezing, nasal discharge, fever",feline calicivirus,39.1,110
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,scottish fold,4,male,4.8,coughing,loss of appetite,fever,lethargy,"coughing, loss of appetite, fever, lethargy",feline chlamydia,38.8,147
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,burmese,4,female,7.5,coughing,loss of appetite,nasal discharge,fever,"coughing, loss of appetite, nasal discharge, fever",feline chlamydiosis,39.0,140
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,persian,6,female,4.2,nasal discharge,loss of appetite,lethargy,fever,"nasal discharge, loss of appetite, lethargy, fever",feline coronavirus,39.1,148
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cat,russian blue,2,female,4.5,coughing,nasal discharge,eye discharge,sneezing,"coughing, nasal discharge, eye discharge, sneezing",feline herpesvirus,38.8,150
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cat,siamese,2,female,4.0,sneezing,eye discharge,appetite loss,lethargy,"sneezing, eye discharge, appetite loss, lethargy",feline herpesvirus,39.0,135
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cat,manx,4,female,3.3,eye discharge,nasal discharge,sneezing,coughing,"eye discharge, nasal discharge, sneezing, coughing",feline herpesvirus,38.5,138
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cat,persian,5,male,5.0,eye discharge,nasal discharge,sneezing,lethargy,"eye discharge, nasal discharge, sneezing, lethargy",feline herpesvirus,38.9,148
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,bengal,3,female,6.0,nasal discharge,loss of appetite,coughing,fever,"nasal discharge, loss of appetite, coughing, fever",feline herpesvirus,39.1,145
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,maine coon,6,male,9.0,coughing,loss of appetite,nasal discharge,fever,"coughing, loss of appetite, nasal discharge, fever",feline herpesvirus,39.4,140
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,bengal,4,male,7.0,coughing,loss of appetite,nasal discharge,fever,"coughing, loss of appetite, nasal discharge, fever",feline immunodeficiency virus,39.1,135
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,cat,maine coon,6,female,7.5,appetite loss,vomiting,diarrhea,skin lesions,"appetite loss, vomiting, diarrhea, skin lesions",feline infectious peritonitis,38.9,145
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,cat,sphynx,4,male,5.2,vomiting,diarrhea,loss of appetite,lethargy,"vomiting, diarrhea, loss of appetite, lethargy",feline infectious peritonitis,39.1,148
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,cat,maine coon,3,male,7.5,lethargy,vomiting,loss of appetite,diarrhea,"lethargy, vomiting, loss of appetite, diarrhea",feline infectious peritonitis,39.1,148
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,siamese,6,male,5.5,coughing,loss of appetite,lethargy,fever,"coughing, loss of appetite, lethargy, fever",feline infectious peritonitis,39.0,149
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,scottish fold,5,female,4.7,nasal discharge,coughing,loss of appetite,fever,"nasal discharge, coughing, loss of appetite, fever",feline infectious peritonitis,38.9,150
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,cat,persian,4,female,7.0,vomiting,loss of appetite,lethargy,fever,"vomiting, loss of appetite, lethargy, fever",feline infectious peritonitis,39.1,125
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,siamese,3,female,7.0,coughing,loss of appetite,nasal discharge,fever,"coughing, loss of appetite, nasal discharge, fever",feline infectious peritonitis,39.0,140
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,cat,ragdoll,6,male,6.0,appetite loss,weight loss,vomiting,lethargy,"appetite loss, weight loss, vomiting, lethargy",feline leukemia,39.0,160
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,maine coon,6,female,10.0,coughing,loss of appetite,nasal discharge,fever,"coughing, loss of appetite, nasal discharge, fever",feline leukemia,39.1,145
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,siamese,4,female,4.2,nasal discharge,lethargy,loss of appetite,fever,"nasal discharge, lethargy, loss of appetite, fever",feline leukemia virus,38.8,145
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,russian blue,3,female,4.8,nasal discharge,coughing,loss of appetite,lethargy,"nasal discharge, coughing, loss of appetite, lethargy",feline leukemia virus,38.9,145
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,abyssinian,3,male,4.6,nasal discharge,coughing,loss of appetite,fever,"nasal discharge, coughing, loss of appetite, fever",feline leukemia virus,39.0,142
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,siberian,5,male,11.0,coughing,loss of appetite,nasal discharge,fever,"coughing, loss of appetite, nasal discharge, fever",feline leukemia virus,39.2,140
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,maine coon,4,male,10.0,vomiting,loss of appetite,lethargy,fever,"vomiting, loss of appetite, lethargy, fever",feline leukemia virus,39.0,140
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,cat,bengal,3,female,4.2,lethargy,vomiting,diarrhea,dehydration,"lethargy, vomiting, diarrhea, dehydration",feline panleukopenia,39.1,145
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,bengal,3,female,8.0,nasal discharge,loss of appetite,coughing,fever,"nasal discharge, loss of appetite, coughing, fever",feline panleukopenia,39.0,145
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,cat,bengal,4,male,10.0,vomiting,loss of appetite,lethargy,fever,"vomiting, loss of appetite, lethargy, fever",feline panleukopenia,39.2,145
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,maine coon,5,male,8.0,coughing,loss of appetite,nasal discharge,fever,"coughing, loss of appetite, nasal discharge, fever",feline panleukopenia virus,39.0,135
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,maine coon,9,male,6.5,lethargy,appetite loss,weight loss,dehydration,"lethargy, appetite loss, weight loss, dehydration",feline renal disease,39.0,140
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cat,maine coon,5,male,5.2,nasal discharge,eye discharge,sneezing,lethargy,"nasal discharge, eye discharge, sneezing, lethargy",feline respiratory disease complex,38.8,140
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,abyssinian,5,male,4.5,coughing,loss of appetite,nasal discharge,fever,"coughing, loss of appetite, nasal discharge, fever",feline respiratory disease complex,39.0,140
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cat,russian blue,5,female,4.7,eye discharge,nasal discharge,sneezing,lethargy,"eye discharge, nasal discharge, sneezing, lethargy",feline respiratory infection,38.6,145
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cat,scottish fold,4,male,4.3,nasal discharge,eye discharge,sneezing,lethargy,"nasal discharge, eye discharge, sneezing, lethargy",feline rhinotracheitis,38.7,143
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,sphynx,3,female,5.0,nasal discharge,loss of appetite,coughing,fever,"nasal discharge, loss of appetite, coughing, fever",feline rhinotracheitis,39.0,155
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cat,sphynx,4,female,3.2,eye discharge,nasal discharge,appetite loss,lethargy,"eye discharge, nasal discharge, appetite loss, lethargy",feline upper respiratory infection,39.3,150
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,british shorthair,3,male,5.5,appetite loss,coughing,nasal discharge,eye discharge,"appetite loss, coughing, nasal discharge, eye discharge",feline upper respiratory infection,38.7,145
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cat,persian,7,female,4.1,sneezing,nasal discharge,eye discharge,lethargy,"sneezing, nasal discharge, eye discharge, lethargy",feline upper respiratory infection,38.9,142
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,maine coon,5,male,8.5,coughing,loss of appetite,lethargy,fever,"coughing, loss of appetite, lethargy, fever",feline upper respiratory infection,39.1,145
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cat,persian,8,female,5.0,coughing,nasal discharge,eye discharge,loss of appetite,"coughing, nasal discharge, eye discharge, loss of appetite",feline viral rhinotracheitis,38.9,147
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cat,burmese,8,female,4.5,eye discharge,nasal discharge,sneezing,lethargy,"eye discharge, nasal discharge, sneezing, lethargy",feline viral rhinotracheitis,38.6,139
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,persian,5,male,3.8,lethargy,appetite loss,skin lesions,,"lethargy, appetite loss, skin lesions",fungal infection,38.7,160
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,cat,sphynx,5,female,3.0,vomiting,appetite loss,diarrhea,weight loss,"vomiting, appetite loss, diarrhea, weight loss",gastroenteritis,38.7,143
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,cat,bombay,6,male,4.0,lethargy,vomiting,loss of appetite,weight loss,"lethargy, vomiting, loss of appetite, weight loss",hyperthyroidism,38.9,149
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,cat,devon rex,6,male,4.2,vomiting,appetite loss,lethargy,weight loss,"vomiting, appetite loss, lethargy, weight loss",inflammatory bowel disease,38.9,146
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,cat,maine coon,2,male,6.0,vomiting,appetite loss,lethargy,diarrhea,"vomiting, appetite loss, lethargy, diarrhea",intestinal parasites,39.1,140
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cat,abyssinian,5,female,4.5,vomiting,diarrhea,loss of appetite,dehydration,"vomiting, diarrhea, loss of appetite, dehydration",pancreatitis,38.5,142
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cat,american curl,5,male,3.7,vomiting,diarrhea,dehydration,weight loss,"vomiting, diarrhea, dehydration, weight loss",pancreatitis,38.8,148
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,cat,siamese,3,female,5.0,lethargy,eye discharge,vomiting,fever,"lethargy, eye discharge, vomiting, fever",panleukopenia,39.0,130
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,cat,bengal,1,male,4.2,vomiting,diarrhea,lethargy,appetite loss,"vomiting, diarrhea, lethargy, appetite loss",panleukopenia,38.8,140
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,cat,bengal,3,male,5.5,lethargy,vomiting,diarrhea,dehydration,"lethargy, vomiting, diarrhea, dehydration",panleukopenia,39.3,140
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,cat,ragdoll,3,male,5.0,skin lesions,appetite loss,lethargy,vomiting,"skin lesions, appetite loss, lethargy, vomiting",ringworm,38.6,155
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,siamese,2,female,4.5,coughing,sneezing,eye discharge,nasal discharge,"coughing, sneezing, eye discharge, nasal discharge",upper respiratory infection,38.9,150
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,british shorthair,5,female,4.8,lethargy,eye discharge,appetite loss,nasal discharge,"lethargy, eye discharge, appetite loss, nasal discharge",upper respiratory infection,39.0,150
