Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification,,Manufactured Date,Expiry Date
Acetocillin,Antidiabetic,Cream,938 mg,Roche Holding AG,Virus,Over-the-Counter,,2021-10-18,2024-08-17
Ibuprocillin,Antiviral,Injection,337 mg,CSL Limited,Infection,Over-the-Counter,,2024-01-15,2025-12-08
Dextrophen,Antibiotic,Ointment,333 mg,Johnson & Johnson,Wound,Prescription,,2024-12-02,2027-01-19
Clarinazole,Antifungal,Syrup,362 mg,AbbVie Inc.,Pain,Prescription,,2024-09-03,2027-04-20
Amoxicillin,Antifungal,Tablet,802 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter,,2024-03-21,2026-07-09
Ibupromycin,Antibiotic,Injection,140 mg,Takeda Pharmaceutical Company Limited,Infection,Prescription,,2021-02-18,2023-05-19
Metovir,Antipyretic,Ointment,641 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter,,2024-03-20,2027-03-18
Ibuprovir,Antidepressant,Syrup,758 mg,Eli Lilly and Company,Fungus,Over-the-Counter,,2025-02-05,2028-01-19
Cefcillin,Antipyretic,Tablet,954 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter,,2022-12-17,2024-05-16
Acetomycin,Analgesic,Inhaler,838 mg,Novo Nordisk A/S,Wound,Prescription,,2022-11-20,2025-05-10
Ibuprocillin,Antifungal,Ointment,422 mg,AbbVie Inc.,Wound,Prescription,,2025-04-03,2027-05-22
Acetonazole,Antipyretic,Ointment,575 mg,Bayer AG,Wound,Prescription,,2022-06-07,2024-05-14
Dolocillin,Antiviral,Ointment,451 mg,Novo Nordisk A/S,Diabetes,Prescription,,2022-10-19,2024-11-07
Cefmet,Antifungal,Tablet,440 mg,AstraZeneca plc,Depression,Prescription,,2023-07-10,2024-12-22
Dolophen,Antibiotic,Capsule,469 mg,Johnson & Johnson,Depression,Prescription,,2022-10-20,2025-02-02
Ibupronazole,Analgesic,Injection,720 mg,Novartis AG,Fungus,Prescription,,2024-05-30,2025-10-16
Amoxiprofen,Antiviral,Ointment,861 mg,Novo Nordisk A/S,Diabetes,Prescription,,2024-09-10,2026-04-26
Acetomycin,Antiviral,Drops,978 mg,Roche Holding AG,Virus,Over-the-Counter,,2022-09-18,2023-11-29
Amoxistatin,Antiviral,Inhaler,46 mg,Sanofi S.A.,Fever,Over-the-Counter,,2020-02-22,2022-04-24
Dextrocillin,Antidiabetic,Inhaler,392 mg,Sanofi S.A.,Pain,Over-the-Counter,,2023-05-19,2025-03-12
Metovir,Antifungal,Injection,124 mg,"Merck & Co., Inc.",Diabetes,Prescription,,2020-02-08,2021-09-30
Cefmet,Analgesic,Cream,649 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter,,2023-05-15,2026-04-20
Clariphen,Antidiabetic,Syrup,300 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter,,2020-12-17,2023-08-08
Ibuprocillin,Antibiotic,Inhaler,86 mg,Bristol-Myers Squibb Company,Diabetes,Prescription,,2023-02-20,2024-05-26
Dolomet,Antifungal,Drops,335 mg,Amgen Inc.,Diabetes,Prescription,,2023-05-16,2025-09-04
Acetoprofen,Antibiotic,Inhaler,909 mg,CSL Limited,Fever,Prescription,,2023-05-20,2026-03-27
Amoximet,Analgesic,Ointment,795 mg,"Gilead Sciences, Inc.",Pain,Prescription,,2021-12-21,2024-04-24
Cefmet,Antidepressant,Injection,512 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter,,2024-12-07,2026-09-28
Doloprofen,Antibiotic,Inhaler,981 mg,Eli Lilly and Company,Fungus,Over-the-Counter,,2022-07-12,2024-08-20
Clariprofen,Antifungal,Tablet,123 mg,Pfizer Inc.,Infection,Prescription,,2023-10-29,2026-10-12
Metocillin,Analgesic,Tablet,892 mg,Eli Lilly and Company,Pain,Over-the-Counter,,2024-10-14,2027-01-03
Ibupromycin,Analgesic,Capsule,97 mg,Roche Holding AG,Diabetes,Over-the-Counter,,2021-08-28,2024-07-26
Cefstatin,Antipyretic,Ointment,19 mg,Roche Holding AG,Fever,Prescription,,2021-01-05,2022-10-06
Metomycin,Antifungal,Capsule,718 mg,Pfizer Inc.,Wound,Over-the-Counter,,2021-12-08,2022-12-27
Acetomycin,Antifungal,Syrup,605 mg,Bayer AG,Virus,Over-the-Counter,,2024-01-27,2026-09-02
Metoprofen,Antiseptic,Capsule,319 mg,Novartis AG,Wound,Prescription,,2023-12-25,2026-02-23
Clarivir,Analgesic,Tablet,14 mg,Bristol-Myers Squibb Company,Pain,Prescription,,2021-10-08,2023-10-03
Ibuproprofen,Analgesic,Cream,178 mg,CSL Limited,Pain,Over-the-Counter,,2020-05-06,2022-03-11
Metocillin,Antibiotic,Cream,106 mg,Amgen Inc.,Depression,Over-the-Counter,,2021-10-21,2024-06-05
Cefprofen,Antiseptic,Tablet,245 mg,Novartis AG,Pain,Over-the-Counter,,2021-07-19,2023-07-09
Dextromycin,Antipyretic,Capsule,986 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter,,2020-08-21,2021-09-16
Acetonazole,Antidepressant,Ointment,93 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription,,2023-10-30,2026-08-12
Dextromycin,Antibiotic,Inhaler,920 mg,AbbVie Inc.,Pain,Over-the-Counter,,2020-02-09,2021-03-26
Ibupromycin,Antipyretic,Injection,760 mg,Boehringer Ingelheim GmbH,Wound,Prescription,,2021-06-01,2023-08-30
Amoxicillin,Analgesic,Cream,594 mg,Amgen Inc.,Fungus,Over-the-Counter,,2022-03-04,2023-06-23
Ibupronazole,Antiseptic,Cream,747 mg,Eli Lilly and Company,Pain,Prescription,,2024-10-14,2027-08-07
Clariprofen,Antidiabetic,Injection,650 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription,,2020-05-11,2022-05-20
Ibupromycin,Antibiotic,Inhaler,486 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription,,2022-10-25,2024-09-03
Acetophen,Analgesic,Cream,76 mg,"Merck & Co., Inc.",Virus,Over-the-Counter,,2024-09-05,2026-01-08
Dextrostatin,Antifungal,Capsule,296 mg,"Merck & Co., Inc.",Wound,Prescription,,2024-09-02,2025-09-08
Dolomet,Antiseptic,Tablet,352 mg,Novo Nordisk A/S,Diabetes,Over-the-Counter,,2022-03-09,2024-09-20
Metophen,Antiseptic,Tablet,404 mg,AstraZeneca plc,Virus,Prescription,,2021-03-12,2023-03-06
Clariphen,Antipyretic,Syrup,956 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter,,2025-02-08,2027-09-08
Cefcillin,Antidiabetic,Ointment,517 mg,Roche Holding AG,Pain,Over-the-Counter,,2020-09-23,2022-09-19
Amoximet,Antifungal,Capsule,727 mg,Johnson & Johnson,Pain,Over-the-Counter,,2022-09-24,2025-08-02
Amoxivir,Antifungal,Syrup,289 mg,Novartis AG,Virus,Over-the-Counter,,2022-10-13,2025-09-19
Metophen,Antidiabetic,Drops,44 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter,,2020-09-15,2023-08-10
Clariphen,Analgesic,Ointment,742 mg,AbbVie Inc.,Depression,Over-the-Counter,,2024-04-05,2025-12-24
